financial_year,flat_type,resale_transactions
2006,1 room,22
2006,2 room,314
2006,3 room,9230
2006,4 room,10851
2006,5 room,6314
2006,Executive and Multi-generation,2211
2006,HUDC,92
2007,1 room,19
2007,2 room,269
2007,3 room,8368
2007,4 room,10864
2007,5 room,7447
2007,Executive and Multi-generation,2569
2007,HUDC,76
2008,1 room,17
2008,2 room,247
2008,3 room,8295
2008,4 room,10637
2008,5 room,7253
2008,Executive and Multi-generation,2058
2008,HUDC,44
2009,1 room,13
2009,2 room,400
2009,3 room,10854
2009,4 room,14365
2009,5 room,10369
2009,Executive and Multi-generation,3242
2009,HUDC,77
2010,1 room,19
2010,2 room,530
2010,3 room,8940
2010,4 room,10817
2010,5 room,7274
2010,Executive and Multi-generation,2421
2010,HUDC,60
2011,1 room,14
2011,2 room,414
2011,3 room,7230
2011,4 room,8933
2011,5 room,5832
2011,Executive and Multi-generation,1874
2011,HUDC,34
2012,1 room,15
2012,2 room,567
2012,3 room,6777
2012,4 room,8747
2012,5 room,5402
2012,Executive and Multi-generation,2029
2012,HUDC,42
2013,1 room,10
2013,2 room,581
2013,3 room,5553
2013,4 room,6560
2013,5 room,3549
2013,Executive and Multi-generation,1293
2013,HUDC,6
2014,1 room,19
2014,2 room,408
2014,3 room,5472
2014,4 room,6791
2014,5 room,3822
2014,Executive and Multi-generation,1160
2014,HUDC,1
2015,1 room,9
2015,2 room,291
2015,3 room,5511
2015,4 room,7857
2015,5 room,4486
2015,Executive and Multi-generation,1466
2016,1 room,7
2016,2 room,279
2016,3 room,5509
2016,4 room,8651
2016,5 room,4893
2016,Executive and Multi-generation,1555
2017,1 room,10
2017,2 room,333
2017,3 room,5379
2017,4 room,9154
2017,5 room,5349
2017,Executive and Multi-generation,1780
2018,1 room,14
2018,2 room,392
2018,3 room,5719
2018,4 room,9626
2018,5 room,5854
2018,Executive and Multi-generation,1871
2019,1 room,8
2019,2 room,517
2019,3 room,6023
2019,4 room,10401
2019,5 room,6005
2019,Executive and Multi-generation,1818
